Wanderung gegenüber Wien nach Migrationshintergrund und Geschlecht;;;;;;;;;;;;;;;
Migration in Vienna by migrationbackground and sex;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;MIG_BACKGROUND;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;MIG_VIE_INT;REF_DATE
AT1;AT13;AT130;00000;00000000;2;AUT;-795;-794;1779;2573;-1;10130;10131;35752;2002
AT1;AT13;AT130;00000;00000000;2;DEU;458;448;1020;572;10;270;260;1248;2002
AT1;AT13;AT130;00000;00000000;2;POL;522;537;837;300;-15;105;120;1220;2002
AT1;AT13;AT130;00000;00000000;2;ROU;751;682;890;208;69;173;104;706;2002
AT1;AT13;AT130;00000;00000000;2;SVK;520;526;689;163;-6;67;73;488;2002
AT1;AT13;AT130;00000;00000000;2;HUN;206;190;372;182;16;117;101;498;2002
AT1;AT13;AT130;00000;00000000;2;BGR;296;294;442;148;2;45;43;429;2002
AT1;AT13;AT130;00000;00000000;2;CZE;78;112;236;124;-34;87;121;581;2002
AT1;AT13;AT130;00000;00000000;2;REST-EU;131;136;960;824;-5;149;154;946;2002
AT1;AT13;AT130;00000;00000000;2;SCG;1534;1486;2446;960;48;349;301;5581;2002
AT1;AT13;AT130;00000;00000000;2;TUR;2244;2098;2484;386;146;317;171;3637;2002
AT1;AT13;AT130;00000;00000000;2;BIH;457;355;497;142;102;194;92;1666;2002
AT1;AT13;AT130;00000;00000000;2;HRV;415;387;553;166;28;87;59;911;2002
AT1;AT13;AT130;00000;00000000;2;MKD;260;259;319;60;1;23;22;423;2002
AT1;AT13;AT130;00000;00000000;2;RUS;243;222;301;79;21;52;31;342;2002
AT1;AT13;AT130;00000;00000000;2;CHN;753;680;792;112;73;162;89;634;2002
AT1;AT13;AT130;00000;00000000;2;OTHER;2224;1978;4000;2022;246;748;502;4799;2002
AT1;AT13;AT130;00000;00000000;1;AUT;252;89;4019;3930;163;9995;9832;36361;2002
AT1;AT13;AT130;00000;00000000;1;DEU;674;619;1205;586;55;279;224;1181;2002
AT1;AT13;AT130;00000;00000000;1;POL;188;194;743;549;-6;94;100;1045;2002
AT1;AT13;AT130;00000;00000000;1;ROU;569;527;727;200;42;129;87;555;2002
AT1;AT13;AT130;00000;00000000;1;SVK;145;153;276;123;-8;50;58;257;2002
AT1;AT13;AT130;00000;00000000;1;HUN;80;68;299;231;12;81;69;362;2002
AT1;AT13;AT130;00000;00000000;1;BGR;283;277;440;163;6;37;31;369;2002
AT1;AT13;AT130;00000;00000000;1;CZE;24;43;140;97;-19;55;74;299;2002
AT1;AT13;AT130;00000;00000000;1;REST-EU;248;265;1319;1054;-17;160;177;1087;2002
AT1;AT13;AT130;00000;00000000;1;SCG;1614;1507;3058;1551;107;485;378;5889;2002
AT1;AT13;AT130;00000;00000000;1;TUR;2219;2053;2814;761;166;473;307;5661;2002
AT1;AT13;AT130;00000;00000000;1;BIH;645;561;783;222;84;197;113;1746;2002
AT1;AT13;AT130;00000;00000000;1;HRV;464;438;710;272;26;104;78;1118;2002
AT1;AT13;AT130;00000;00000000;1;MKD;312;309;495;186;3;48;45;708;2002
AT1;AT13;AT130;00000;00000000;1;RUS;207;182;282;100;25;55;30;274;2002
AT1;AT13;AT130;00000;00000000;1;CHN;569;502;621;119;67;162;95;518;2002
AT1;AT13;AT130;00000;00000000;1;OTHER;2698;2215;5920;3705;483;1272;789;8895;2002
AT1;AT13;AT130;00000;00000000;2;AUT;-2134;-931;1389;2320;-1203;8879;10082;35166;2003
AT1;AT13;AT130;00000;00000000;2;DEU;492;546;1081;535;-54;238;292;1202;2003
AT1;AT13;AT130;00000;00000000;2;POL;525;538;979;441;-13;113;126;1206;2003
AT1;AT13;AT130;00000;00000000;2;ROU;694;694;1105;411;0;167;167;978;2003
AT1;AT13;AT130;00000;00000000;2;SVK;343;370;636;266;-27;72;99;566;2003
AT1;AT13;AT130;00000;00000000;2;HUN;127;129;369;240;-2;98;100;469;2003
AT1;AT13;AT130;00000;00000000;2;BGR;367;347;560;213;20;61;41;566;2003
AT1;AT13;AT130;00000;00000000;2;CZE;2;39;206;167;-37;82;119;474;2003
AT1;AT13;AT130;00000;00000000;2;REST-EU;222;208;1088;880;14;156;142;975;2003
AT1;AT13;AT130;00000;00000000;2;SCG;2048;2011;3014;1003;37;394;357;5967;2003
AT1;AT13;AT130;00000;00000000;2;TUR;2035;1951;2387;436;84;294;210;3504;2003
AT1;AT13;AT130;00000;00000000;2;BIH;633;552;709;157;81;209;128;1690;2003
AT1;AT13;AT130;00000;00000000;2;HRV;272;255;478;223;17;101;84;933;2003
AT1;AT13;AT130;00000;00000000;2;MKD;314;307;354;47;7;43;36;393;2003
AT1;AT13;AT130;00000;00000000;2;RUS;430;344;450;106;86;133;47;394;2003
AT1;AT13;AT130;00000;00000000;2;CHN;578;554;761;207;24;162;138;1062;2003
AT1;AT13;AT130;00000;00000000;2;OTHER;2415;2121;4384;2263;294;754;460;5274;2003
AT1;AT13;AT130;00000;00000000;1;AUT;-1840;-697;3507;4204;-1143;8973;10116;36147;2003
AT1;AT13;AT130;00000;00000000;1;DEU;544;600;1246;646;-56;251;307;1160;2003
AT1;AT13;AT130;00000;00000000;1;POL;209;198;826;628;11;112;101;1192;2003
AT1;AT13;AT130;00000;00000000;1;ROU;553;583;1188;605;-30;130;160;755;2003
AT1;AT13;AT130;00000;00000000;1;SVK;149;148;300;152;1;37;36;251;2003
AT1;AT13;AT130;00000;00000000;1;HUN;24;26;307;281;-2;78;80;367;2003
AT1;AT13;AT130;00000;00000000;1;BGR;192;196;499;303;-4;34;38;482;2003
AT1;AT13;AT130;00000;00000000;1;CZE;-32;-12;126;138;-20;55;75;299;2003
AT1;AT13;AT130;00000;00000000;1;REST-EU;356;380;1491;1111;-24;157;181;1092;2003
AT1;AT13;AT130;00000;00000000;1;SCG;2014;1941;3738;1797;73;506;433;6605;2003
AT1;AT13;AT130;00000;00000000;1;TUR;1668;1594;2525;931;74;467;393;5603;2003
AT1;AT13;AT130;00000;00000000;1;BIH;514;480;762;282;34;217;183;1888;2003
AT1;AT13;AT130;00000;00000000;1;HRV;207;213;564;351;-6;97;103;1089;2003
AT1;AT13;AT130;00000;00000000;1;MKD;271;262;425;163;9;71;62;718;2003
AT1;AT13;AT130;00000;00000000;1;RUS;390;331;478;147;59;116;57;424;2003
AT1;AT13;AT130;00000;00000000;1;CHN;480;459;718;259;21;148;127;803;2003
AT1;AT13;AT130;00000;00000000;1;OTHER;2032;1903;6563;4660;129;1185;1056;9757;2003
AT1;AT13;AT130;00000;00000000;2;AUT;-3064;-870;1365;2235;-2194;8721;10915;35549;2004
AT1;AT13;AT130;00000;00000000;2;DEU;859;924;1546;622;-65;255;320;1489;2004
AT1;AT13;AT130;00000;00000000;2;POL;1472;1537;2045;508;-65;108;173;1456;2004
AT1;AT13;AT130;00000;00000000;2;ROU;594;559;1114;555;35;215;180;1168;2004
AT1;AT13;AT130;00000;00000000;2;SVK;591;577;904;327;14;98;84;667;2004
AT1;AT13;AT130;00000;00000000;2;HUN;217;225;479;254;-8;114;122;530;2004
AT1;AT13;AT130;00000;00000000;2;BGR;315;297;581;284;18;63;45;618;2004
AT1;AT13;AT130;00000;00000000;2;CZE;23;65;246;181;-42;76;118;510;2004
AT1;AT13;AT130;00000;00000000;2;REST-EU;243;279;1242;963;-36;139;175;1028;2004
AT1;AT13;AT130;00000;00000000;2;SCG;2269;2219;3388;1169;50;411;361;6667;2004
AT1;AT13;AT130;00000;00000000;2;TUR;1417;1376;1864;488;41;255;214;3733;2004
AT1;AT13;AT130;00000;00000000;2;BIH;606;500;674;174;106;221;115;1756;2004
AT1;AT13;AT130;00000;00000000;2;HRV;351;328;542;214;23;104;81;912;2004
AT1;AT13;AT130;00000;00000000;2;MKD;331;332;396;64;-1;31;32;521;2004
AT1;AT13;AT130;00000;00000000;2;RUS;555;534;673;139;21;226;205;860;2004
AT1;AT13;AT130;00000;00000000;2;CHN;373;351;634;283;22;170;148;1214;2004
AT1;AT13;AT130;00000;00000000;2;OTHER;2538;2320;4508;2188;218;838;620;6177;2004
AT1;AT13;AT130;00000;00000000;1;AUT;-2596;-573;3492;4065;-2023;8744;10767;35828;2004
AT1;AT13;AT130;00000;00000000;1;DEU;878;937;1665;728;-59;270;329;1341;2004
AT1;AT13;AT130;00000;00000000;1;POL;2102;2129;2922;793;-27;136;163;1442;2004
AT1;AT13;AT130;00000;00000000;1;ROU;135;207;1021;814;-72;132;204;859;2004
AT1;AT13;AT130;00000;00000000;1;SVK;239;216;465;249;23;69;46;323;2004
AT1;AT13;AT130;00000;00000000;1;HUN;-63;-29;391;420;-34;73;107;348;2004
AT1;AT13;AT130;00000;00000000;1;BGR;138;138;502;364;0;35;35;499;2004
AT1;AT13;AT130;00000;00000000;1;CZE;-48;-10;149;159;-38;49;87;287;2004
AT1;AT13;AT130;00000;00000000;1;REST-EU;343;398;1688;1290;-55;156;211;1161;2004
AT1;AT13;AT130;00000;00000000;1;SCG;2272;2268;4130;1862;4;474;470;7530;2004
AT1;AT13;AT130;00000;00000000;1;TUR;1123;1091;2056;965;32;426;394;5806;2004
AT1;AT13;AT130;00000;00000000;1;BIH;711;592;908;316;119;284;165;2013;2004
AT1;AT13;AT130;00000;00000000;1;HRV;222;228;603;375;-6;95;101;1064;2004
AT1;AT13;AT130;00000;00000000;1;MKD;265;247;424;177;18;90;72;790;2004
AT1;AT13;AT130;00000;00000000;1;RUS;505;517;707;190;-12;212;224;913;2004
AT1;AT13;AT130;00000;00000000;1;CHN;274;287;588;301;-13;136;149;910;2004
AT1;AT13;AT130;00000;00000000;1;OTHER;3468;3341;7319;3978;127;1479;1352;11776;2004
AT1;AT13;AT130;00000;00000000;2;AUT;-2015;-356;1214;1570;-1659;9198;10857;37188;2005
AT1;AT13;AT130;00000;00000000;2;DEU;907;977;1623;646;-70;279;349;1551;2005
AT1;AT13;AT130;00000;00000000;2;POL;1173;1268;1921;653;-95;119;214;1752;2005
AT1;AT13;AT130;00000;00000000;2;ROU;454;432;1025;593;22;213;191;1173;2005
AT1;AT13;AT130;00000;00000000;2;SVK;524;541;953;412;-17;114;131;855;2005
AT1;AT13;AT130;00000;00000000;2;HUN;112;148;440;292;-36;109;145;556;2005
AT1;AT13;AT130;00000;00000000;2;BGR;150;147;479;332;3;51;48;672;2005
AT1;AT13;AT130;00000;00000000;2;CZE;3;74;235;161;-71;76;147;523;2005
AT1;AT13;AT130;00000;00000000;2;REST-EU;292;316;1306;990;-24;140;164;1120;2005
AT1;AT13;AT130;00000;00000000;2;SCG;1876;1940;2877;937;-64;386;450;6965;2005
AT1;AT13;AT130;00000;00000000;2;TUR;1384;1362;1784;422;22;235;213;3884;2005
AT1;AT13;AT130;00000;00000000;2;BIH;447;388;570;182;59;221;162;1798;2005
AT1;AT13;AT130;00000;00000000;2;HRV;218;221;455;234;-3;77;80;921;2005
AT1;AT13;AT130;00000;00000000;2;MKD;261;240;302;62;21;63;42;488;2005
AT1;AT13;AT130;00000;00000000;2;RUS;451;263;377;114;188;269;81;867;2005
AT1;AT13;AT130;00000;00000000;2;CHN;202;235;540;305;-33;169;202;1099;2005
AT1;AT13;AT130;00000;00000000;2;OTHER;2376;2063;4268;2205;313;928;615;6601;2005
AT1;AT13;AT130;00000;00000000;1;AUT;-1542;243;3335;3092;-1785;9079;10864;36668;2005
AT1;AT13;AT130;00000;00000000;1;DEU;1016;1097;1839;742;-81;281;362;1529;2005
AT1;AT13;AT130;00000;00000000;1;POL;1651;1722;2740;1018;-71;139;210;1922;2005
AT1;AT13;AT130;00000;00000000;1;ROU;278;311;1006;695;-33;149;182;824;2005
AT1;AT13;AT130;00000;00000000;1;SVK;190;227;599;372;-37;50;87;381;2005
AT1;AT13;AT130;00000;00000000;1;HUN;63;98;430;332;-35;66;101;396;2005
AT1;AT13;AT130;00000;00000000;1;BGR;2;21;385;364;-19;28;47;496;2005
AT1;AT13;AT130;00000;00000000;1;CZE;-17;16;147;131;-33;40;73;280;2005
AT1;AT13;AT130;00000;00000000;1;REST-EU;300;348;1716;1368;-48;158;206;1287;2005
AT1;AT13;AT130;00000;00000000;1;SCG;1996;2054;3677;1623;-58;548;606;7988;2005
AT1;AT13;AT130;00000;00000000;1;TUR;1157;1147;1926;779;10;394;384;6094;2005
AT1;AT13;AT130;00000;00000000;1;BIH;558;536;836;300;22;226;204;2087;2005
AT1;AT13;AT130;00000;00000000;1;HRV;122;136;476;340;-14;98;112;1078;2005
AT1;AT13;AT130;00000;00000000;1;MKD;314;294;442;148;20;105;85;848;2005
AT1;AT13;AT130;00000;00000000;1;RUS;295;146;305;159;149;259;110;973;2005
AT1;AT13;AT130;00000;00000000;1;CHN;207;206;533;327;1;154;153;942;2005
AT1;AT13;AT130;00000;00000000;1;OTHER;1776;1546;5606;4060;230;1595;1365;12709;2005
AT1;AT13;AT130;00000;00000000;2;AUT;-1902;-513;1111;1624;-1389;9664;11053;36648;2006
AT1;AT13;AT130;00000;00000000;2;DEU;893;984;1712;728;-91;301;392;1801;2006
AT1;AT13;AT130;00000;00000000;2;POL;883;950;1608;658;-67;127;194;1968;2006
AT1;AT13;AT130;00000;00000000;2;ROU;172;180;885;705;-8;181;189;1222;2006
AT1;AT13;AT130;00000;00000000;2;SVK;273;297;808;511;-24;99;123;908;2006
AT1;AT13;AT130;00000;00000000;2;HUN;115;161;461;300;-46;93;139;583;2006
AT1;AT13;AT130;00000;00000000;2;BGR;61;57;417;360;4;50;46;637;2006
AT1;AT13;AT130;00000;00000000;2;CZE;-29;33;218;185;-62;76;138;523;2006
AT1;AT13;AT130;00000;00000000;2;REST-EU;224;248;1345;1097;-24;151;175;1034;2006
AT1;AT13;AT130;00000;00000000;2;SCG;422;456;1595;1139;-34;395;429;6927;2006
AT1;AT13;AT130;00000;00000000;2;TUR;582;528;999;471;54;259;205;3985;2006
AT1;AT13;AT130;00000;00000000;2;BIH;265;212;380;168;53;223;170;1776;2006
AT1;AT13;AT130;00000;00000000;2;HRV;160;153;389;236;7;91;84;991;2006
AT1;AT13;AT130;00000;00000000;2;MKD;116;115;179;64;1;27;26;501;2006
AT1;AT13;AT130;00000;00000000;2;RUS;372;162;287;125;210;320;110;628;2006
AT1;AT13;AT130;00000;00000000;2;CHN;95;67;374;307;28;159;131;1031;2006
AT1;AT13;AT130;00000;00000000;2;OTHER;1890;1536;4215;2679;354;901;547;6694;2006
AT1;AT13;AT130;00000;00000000;1;AUT;-2032;-468;2845;3313;-1564;9367;10931;37288;2006
AT1;AT13;AT130;00000;00000000;1;DEU;1013;1056;2017;961;-43;339;382;1681;2006
AT1;AT13;AT130;00000;00000000;1;POL;889;931;2089;1158;-42;161;203;2093;2006
AT1;AT13;AT130;00000;00000000;1;ROU;-142;-90;865;955;-52;137;189;823;2006
AT1;AT13;AT130;00000;00000000;1;SVK;105;134;570;436;-29;50;79;418;2006
AT1;AT13;AT130;00000;00000000;1;HUN;114;120;462;342;-6;89;95;369;2006
AT1;AT13;AT130;00000;00000000;1;BGR;0;-2;333;335;2;37;35;431;2006
AT1;AT13;AT130;00000;00000000;1;CZE;6;37;171;134;-31;45;76;277;2006
AT1;AT13;AT130;00000;00000000;1;REST-EU;31;75;1623;1548;-44;165;209;1282;2006
AT1;AT13;AT130;00000;00000000;1;SCG;196;243;2240;1997;-47;526;573;7929;2006
AT1;AT13;AT130;00000;00000000;1;TUR;334;327;1247;920;7;400;393;6014;2006
AT1;AT13;AT130;00000;00000000;1;BIH;154;130;435;305;24;214;190;1981;2006
AT1;AT13;AT130;00000;00000000;1;HRV;60;85;464;379;-25;101;126;1081;2006
AT1;AT13;AT130;00000;00000000;1;MKD;85;85;267;182;0;59;59;890;2006
AT1;AT13;AT130;00000;00000000;1;RUS;346;149;307;158;197;350;153;705;2006
AT1;AT13;AT130;00000;00000000;1;CHN;35;16;374;358;19;153;134;920;2006
AT1;AT13;AT130;00000;00000000;1;OTHER;986;446;4955;4509;540;1678;1138;11719;2006
AT1;AT13;AT130;00000;00000000;2;AUT;-2335;-940;1049;1989;-1395;10218;11613;37662;2007
AT1;AT13;AT130;00000;00000000;2;DEU;1065;1107;1943;836;-42;353;395;1996;2007
AT1;AT13;AT130;00000;00000000;2;POL;848;942;1566;624;-94;142;236;2074;2007
AT1;AT13;AT130;00000;00000000;2;ROU;1071;1098;1642;544;-27;205;232;1491;2007
AT1;AT13;AT130;00000;00000000;2;SVK;370;390;842;452;-20;113;133;1053;2007
AT1;AT13;AT130;00000;00000000;2;HUN;327;345;627;282;-18;131;149;616;2007
AT1;AT13;AT130;00000;00000000;2;BGR;471;461;706;245;10;75;65;709;2007
AT1;AT13;AT130;00000;00000000;2;CZE;27;52;220;168;-25;84;109;490;2007
AT1;AT13;AT130;00000;00000000;2;REST-EU;533;548;1551;1003;-15;167;182;1262;2007
AT1;AT13;AT130;00000;00000000;2;SCG;342;351;1491;1140;-9;342;351;6287;2007
AT1;AT13;AT130;00000;00000000;2;TUR;616;595;1137;542;21;269;248;4108;2007
AT1;AT13;AT130;00000;00000000;2;BIH;218;183;362;179;35;207;172;1969;2007
AT1;AT13;AT130;00000;00000000;2;HRV;132;102;339;237;30;104;74;946;2007
AT1;AT13;AT130;00000;00000000;2;MKD;164;163;221;58;1;41;40;584;2007
AT1;AT13;AT130;00000;00000000;2;RUS;523;234;351;117;289;398;109;901;2007
AT1;AT13;AT130;00000;00000000;2;CHN;73;59;349;290;14;159;145;956;2007
AT1;AT13;AT130;00000;00000000;2;OTHER;1967;1672;4432;2760;295;998;703;6944;2007
AT1;AT13;AT130;00000;00000000;1;AUT;-2088;-819;2692;3511;-1269;10080;11349;38252;2007
AT1;AT13;AT130;00000;00000000;1;DEU;1276;1349;2363;1014;-73;359;432;1967;2007
AT1;AT13;AT130;00000;00000000;1;POL;421;502;1724;1222;-81;150;231;2249;2007
AT1;AT13;AT130;00000;00000000;1;ROU;1051;1180;1853;673;-129;124;253;1133;2007
AT1;AT13;AT130;00000;00000000;1;SVK;165;198;598;400;-33;59;92;437;2007
AT1;AT13;AT130;00000;00000000;1;HUN;346;363;634;271;-17;105;122;435;2007
AT1;AT13;AT130;00000;00000000;1;BGR;352;354;633;279;-2;44;46;524;2007
AT1;AT13;AT130;00000;00000000;1;CZE;7;41;178;137;-34;35;69;259;2007
AT1;AT13;AT130;00000;00000000;1;REST-EU;514;552;1745;1193;-38;169;207;1307;2007
AT1;AT13;AT130;00000;00000000;1;SCG;87;85;2044;1959;2;474;472;7239;2007
AT1;AT13;AT130;00000;00000000;1;TUR;364;354;1328;974;10;414;404;6132;2007
AT1;AT13;AT130;00000;00000000;1;BIH;135;122;420;298;13;219;206;2207;2007
AT1;AT13;AT130;00000;00000000;1;HRV;66;89;431;342;-23;98;121;1120;2007
AT1;AT13;AT130;00000;00000000;1;MKD;77;82;262;180;-5;60;65;869;2007
AT1;AT13;AT130;00000;00000000;1;RUS;429;146;305;159;283;455;172;842;2007
AT1;AT13;AT130;00000;00000000;1;CHN;66;55;360;305;11;163;152;768;2007
