pointid;plz;ort;strasse;zusatztext;gefoerdert_jahr;note1;note2;bundesland;Breitenangabe;Längenangabe
166;2000;Stockerau;Senningbach, C.Felkel-Straße;C.Felkel-Straße, angrenzend an Senningbach;2007;Kinderspielplatz Stockerau;Kinderspielplatz Stockerau,2000, Stockerau;N;48,4097;16,1975
50;2020;Hollabrunn;;am Anger in der KG Altenmarkt an der Triesting;2005;Spielplatz Altenmarkt;Spielplatz Altenmarkt,2020, Hollabrunn;N;48,5809;16,1943
73;2020;Hollabrunn;Brunnthalgasse;zwischen Brunnthalgasse und Castelligasse;2003;Spielplatz Castelligasse;Spielplatz Castelligasse,2020, Hollabrunn;N;48,5664;16,0758
155;2020;Hollabrunn;Mühlgasse 35;"zwischen Museum &quot;Alte Hofmühle&quot; und HBLA";2000;Wasserpark Hollabrunn;Wasserpark Hollabrunn,2020, Hollabrunn;N;48,5660;16,0857
84;2034;Großharras;Nr. 114;;2004;Spielplatz Großharras;Spielplatz Großharras,2034, Großharras;N;48,6667;16,2495
159;2051;Wolkersdorf;Alter Markt;Alter Markt, Kreuzung Feldweg auf Höhe Roseneck;2007;Spielplatz Alter Markt;Spielplatz Wolkersdorf,2051, Wolkersdorf;N;48,3883;16,5101
94;2054;Haugsdorf;Leopold Leuthnerstraße;im Kaiserpark, vorbeiführende Straße ist Leopold Leuthnerstraße;2004;Spielplatz im Kaiserpark;Spielplatz im Kaiserpark,2054, Haugsdorf;N;48,7094;16,0738
167;2062;Seefeld-Kadolz;Gartensiedlung;Gartensiedlung, Großkadolz;2007;Spielplatz;Spielplatz Seefeld-Kadolz,2062, Seefeld-Kadolz;N;48,7166;16,1803
116;2064;Wulzeshofen, Laa/Thaya;;;2003;Spielplatz Wulzeshofen;Spielplatz Wulzeshofen,2064, Wulzeshofen, Laa/Thaya;N;48,7186;16,3023
146;2084;Weitersfeld;;;2004;Spielplatz Weitersfeld;Spielplatz Weitersfeld,2084, Weitersfeld;N;48,7845;15,8104
176;2095;Amaliendorf;Thayatalstraße-Ringstraße-Hauptstraße;im Bereich Thayatalstraße-Ringstraße-Hauptstraße;2007;Spielplatz Aalfang;Spielplatz Amaliendorf-Aalfang,2095, Amaliendorf;N;48,8351;15,0932
187;2095;Drosendorf;Horner Straße 24;Direkt neben der Volks- und Hauptschule Drosendorf;2008;Spielplatz Drosendorf;Spielplatz Drosendorf,2095, Drosendorf-Zissersdorf;N;48,8646;15,6222
112;2130;Mistelbach;;Nordwestlich der Pfarrkirche St.Martin;2004;Spielplatz Kirchenberg;Spielplatz Kirchenberg,2130, Mistelbach;N;48,5705;16,5767
197;2130;Mistelbach;Obere Siedlungsstraße 1A;"im Stadtwald, Nähe GH ""Martinsklause""";2008;Spielplatz Totenhauer;Spielplatz Mistelbach,2130, Mistelbach;N;48,5916;16,5709
86;2133;Hagenberg;Hagenberg 68;direkt im Ort;2002;Spielplatz Hagenberg;Spielplatz Hagenberg,2133, Hagenberg;N;48,6332;16,4505
261;2133;Fallbach, KG Loosdorf;Loosdorf 116;in Loosdorf auf einem Hügel am Ende der Ortschaft;2009;Spielplatz Loosdorf;Spielplatz Loosdorf,2133 Fallbach;N;48,6558;16,4151
202;2134;Staatz;Wultendorf 70 und 116;Spielplatz im Pfarrgarten und bei Hoppel di Poppel;2008;Spiellandschaft Staatz;Spielplatz Wultendorf,2134, Staatz;N;48,6628;16,4637
16;2135;Neudorf bei Staatz;;bei der Sportanlage, am Ortsende Richtung Zlabern;2004;Erlebnisspielplatz Sonnengarten;Erlebnisspielplatz Sonnengarten,2135, Neudorf bei Staatz;N;48,7196;16,4996
117;2136;Laa an der Thaya;Gärtnerstraße 33;in der Gartenanlage des Landespflegeheimes;2006;Spielplatz Landespflegeheim Laa;Kinder- und Seniorenspielplatz Landespensionistenheim Laa,2136, Laa an der Thaya;N;48,7223;16,3793
193;2136;Laa an der Thaya;Höhe Franz Lehar-Gasse und Thermenallee;"Neben der Siedlung ""Neustadt"" in Laa";2008;"Spielplatz ""Neustadt II""";Spielplatz Laa an der Thaya,2136, Laa an der Thaya;N;48,7274;16,4000
24;2144;Altlichtenwarth;Teichgasse;;2002;Kinderspielplatz;Kinderspielplatz,2144, Altlichtenwarth;N;48,6462;16,7907
133;2151;Asparn/Zaya;;gegenüber Schloss Asparn;2006;Spielplatz Schlosswiese;Spielplatz Schlosswiese,2151, Asparn/Zaya;N;48,5896;16,4947
52;2152;Gnadendorf;Nr. 106;direkt im Anschluss an die Volksschule;2003;Spielplatz am Anger;Spielplatz am Anger,2152, Gnadendorf;N;48,6146;16,3993
190;2152;Gnadendorf;Eichenbrunn Nr. 46;In Eichenbrunn, direkt im Ort, Nähe Kirche;2008;Spielplatz Eichenbrunn;Spielplatz Eichenbrunn,2152, Gnadendorf;N;48,6193;16,3568
188;2154;Gaubitsch;Brunnweg;In Altenmarkt, Nähe Brunnwegsiedlung;2008;"Spielplatz Gaubitsch ""Weintraubengarten""";Spielplatz Altenmarkt,2154, Gaubitsch;N;48,6478;16,3843
157;2161;Poysdorf;Milleniumstraße 48;;2001;Milleniumspark;Milleniumspark,2161, Poysdorf;N;48,6609;16,6326
148;2164;Wildendürnbach;;;2005;Spielplatz Wildendürnbach;Spielplatz Wildendürnbach,2164, Wildendürnbach;N;48,7570;16,5049
92;2170;Poysdorf;Laaerstraße 106;;2003;Spielplatz im Freizeitzentrum;Spielplatz im Freizeitzentrum ,2170, Poysdorf;N;48,6654;16,6166
265;2171;Herrnbaumgarten;gegenüber Hauptstraße 99;am Ende der Ortschaft Herrnbaumgarten, beim Sportplatz;2009;Spielplatz Herrnbaumgarten;Spielplatz Herrnbaumgarten,2171 Herrnbaumgarten;N;48,6987;16,6885
288;2171;Poysdorf;VS Poysdorf Wiener Straße 3;Schulfreiraum;2011;Schulfreiraum VS Poysdorf;Schulfreiraum VS Poysdorf,2171, Poysdorf;N;48,6967;16,6820
46;2172;Schrattenberg;;im Ortsteil Zwölfquanten;2003;Schrattenberger Spielparadies;Schrattenberger Spielparadies,2172, Schrattenberg;N;48,7240;16,7224
132;2193;Wilfersdorf;Hauptstraße 1;Wilfersdorf;2002;Spielplatz Schlossgraben;Spielplatz Schlossgraben,2193, Wilfersdorf;N;48,5848;16,6456
276;2211;Pillichsdorf;neben dem Fußballplatz unweit des Ortszentrums;unmittelbar neben dem Fußballplatz und Tenniszentrum, neben der Bahn und dem Radweg;2010;Spielplatz Pillichsdorf;Spielplatz Pillichsdorf , 2211 Pillichsdorf;N;48,3645;16,5400
286;2212;Groß Engersdorf;Bahngasse;am Ortsrand nebem dem Sportzentrum;2011;Spielplatz Groß Engersdorf;Spielplatz Gross Engersdorf,2212, Groß Engersdorf;N;48,3578;16,5698
61;2214;Auersthal;Sportring 16-18;;2002;Spielplatz Auersthal;Spielplatz Auersthal,2214, Auersthal;N;48,3797;16,6291
105;2224;Sulz im Weinviertel;Nr. 21;hinter dem Gemeindeamt;2004;Spielplatz in Obersulz;Spielplatz in Obersulz,2224, Sulz im Weinviertel;N;48,5023;16,6736
23;2230;Gänserndorf;;zwischen Seegasse und Protteser Straße sowie Bauhofgasse;2003;Kinderpark;Kinderpark,2230, Gänserndorf;N;48,3449;16,7226
114;2232;Deutsch-Wagram;Wilhelm Kress-Gasse;Ecke Leopold Kunschak-Gasse;2005;Spielplatz Kreuzwiese;Spielplatz Kreuzwiese,2232, Deutsch-Wagram;N;48,3139;16,5784
72;2275;Bernhardsthal;Am Teich Nr. 222;bei der Raststation;2004;Spielplatz Bernhardsthal;Spielplatz Bernhardsthal,2275, Bernhardsthal;N;48,6923;16,8736
1;2282;Markgrafneusiedl;Sportplatzweg;bei der Sportanlage;2002;Abenteuerspielplatz;Abenteuerspielplatz,2282, Markgrafneusiedl;N;48,2726;16,6244
7;2291;Lassee;Am Holzgarten;;2002;Bittnerpark;Bittnerpark,2291, Lassee;N;48,2232;16,8250
182;2293;Marchegg;Schulplatz;ehemaliger Fußballplatz direkt neben der Volks- und Hauptschule;2007;Spielplatz Marchegg;Spielplatz Marchegg,2293, Marchegg;N;48,2647;16,9067
25;2295;Weiden an der March;;;2006;Kinderspielplatz Zwerndorf;Kinderspielplatz Zwerndorf,2295, Weiden an der March;N;48,3423;16,8341
120;2304;Orth an der Donau;Graf-Salm-Gasse;;2003;Spielplatz Meierhof;Spielplatz Meierhof,2304, Orth an der Donau;N;48,1474;16,7009
277;2304;Orth an der Donau;Am Markt 30;direkt bei der VS Orth an der Donau;2009;Schulfreiraum Orth an der Donau;Schulfreiraum Orth an der Donau,2304 Orth an der Donau;N;48,1466;16,7043
100;2320;Schwechat;;im Stadtpark Schwechat;;Spielplatz im Stadtpark;Spielplatz im Stadtpark,2320, Schwechat;N;48,1154;16,4663
21;2340;Mödling;Jägerhausgasse 1;;2005;Integrationsspielplatz Vorderbrühl;Integrationsspielplatz Vorderbrühl,2340, Mödling;N;48,0807;16,2652
270;2340;Mödling;Hyrtlstraße/Schulweg;zentral am Mödlingbach im Hyrtlpark;2009;Spielplatz Mödling;Spielplatz Mödling,2340 Mödling;N;48,0857;16,3053
147;2351;Wiener Neudorf;Schloßmühlplatz 1;im Klosterareal;2002;Spielplatz Wiener Neudorf;Spielplatz Wiener Neudorf,2351, Wiener Neudorf;N;48,0840;16,3240
162;2352;Gumpoldskirchen;Aleeweg;Alleeweg, beim Kindergarten, nahe Kreuzung Wienerstraße;2007;Spielplatz Gumpoldskirchen;Spielplatz Gumpoldskirchen,2352, Gumpoldskirchen;N;48,0455;16,2770
98;2361;Laxenburg;Schlosspark 1;im Schlosspark Laxenburg;2002;Spielplatz im Schlosspark;Spielplatz im Schlosspark,2361, Laxenburg;N;48,0654;16,3670
89;2371;Hinterbrühl;;;2005;Spielplatz Hinterbrühl;Spielplatz Hinterbrühl,2371, Hinterbrühl;N;48,0899;16,2394
55;2372;Gießhübl;Perlhofgasse 2b;;2004;Spielplatz am Perlhof;Spielplatz am Perlhof,2372, Gießhübl;N;48,0986;16,2550
164;2380;Perchtoldsdorf;Begrischpark;im Begrischpark, an der Roseggergasse;2007;Waldspielplatz Begrischpark;Waldspielplatz Begrischpark,2380, Perchtoldsdorf;N;48,1238;16,2571
96;2381;Laab im Walde;Hauptstraße 38;;2005;Spielplatz im Pfarrgarten;Spielplatz im Pfarrgarten,2381, Laab im Walde;N;48,1557;16,1749
262;2401;Fischamend;Am Rosenhügel;"im Siedlungsgebiet ""Am Rosenhügel""";2009;"Spielplatz am Rosenhügel, ""Fische-Welle-Spiel""";Spielplatz Fischamend,2401 Fischamend;N;48,1149;16,6213
28;2410;Hainburg an der Donau;Donaulände 5;;2003;Kinderspielplatz Spelitzpark;Kinderspielplatz Spelitzpark,2410, Hainburg an der Donau;N;48,1479;16,9374
108;2440;Gramatneusiedl;Kaiseraugasse;grenzt an Kaiseraugasse, neben Kindergarten;2005;Spielplatz Kaiserau;Spielplatz Kaiserau,2440, Gramatneusiedl;N;48,0275;16,4925
160;2440;Moosbrunn;Trumauer Straße;neben Eisteich in Moosbrunn,;2007;Spielplatz Eisteich;Spielplatz Moosbrunn,2440, Moosbrunn;N;48,0166;16,4507
47;2452;Mannersdorf am Leithagebirge;;;2004;Spielplatz Am Stadtpark;Spielplatz Am Stadtpark,2452, Mannersdorf am Leithagebirge;N;47,9757;16,6102
196;2452;Mannersdorf;Siedlergasse;In Wasenbruck;2008;Spielplatz Wasenbruck;Spielplatz Wasenbruck,2452, Mannersdorf am Leithagebirge;N;47,9899;16,5610
278;2460;Bruck an der Leitha;Harrachpark;Harrachpark, Eingang Kreisverkehr Rohrauer Strasse;2010;Spielplatz im Harrachpark;Spielplatz Bruck an der Leitha , 2460 Bruck an der Leitha;N;48,0255;16,7790
259;2483;Ebreichsdorf;Wiener Straße;beim Tennisplatz, nach dem FF-Haus (& Parkplatz);2009;Spielplatz Ebreichsdorf;Spielplatz Ebreichsdorf,2483 Ebreichsdorf;N;47,9712;16,3987
151;2492;Zillingdorf;;;2002;Spielplatz Zillingdorf;Spielplatz Zillingdorf,2492, Zillingdorf;N;47,8498;16,3233
118;2493;Lichtenwörth;Kirchenplatz 3;;2005;Spielplatz Lichtenwörth;Spielplatz Lichtenwörth,2493, Lichtenwörth;N;47,8322;16,2945
67;2500;Krainerhütte bei Baden;Helenental 41;;;Spielplatz bei Krainerhütte;Spielplatz bei Krainerhütte,2500, Krainerhütte bei Baden;N;48,0149;16,1730
272;2511;Pfaffstätten;Dr.Josef-Dolp Straße;am Ortsrand von Pfaffstätten inmitten von Weingärten;2009;Spielplatz Pfaffstätten;Spielplatz Pfaffstätten,2511 Pfaffstätten;N;48,0197;16,2669
41;2522;Oberwaltersdorf;Fabrikstraße;;;Naturspielplatz;Naturspielplatz,2522, Oberwaltersdorf;N;47,9807;16,3256
2;2524;Teesdorf;;beim Bruno Seitz Wohnpark;;Abenteuerspielplatz;Abenteuerspielplatz,2524, Teesdorf;N;47,9503;16,2852
163;2525;Schönau an der Triesting;Augasse;"Naherhohlungsgebiet ""Weißbleiche"", am Ende der Augasse";2007;Auspielplatz;Spielplatz Schönau,2525, Schönau an der Triesting;N;47,9325;16,2459
64;2540;Bad Vöslau;Am Viertelgraben;;2003;Spielplatz Bad Vöslau;Spielplatz Bad Vöslau,2540, Bad Vöslau;N;47,9617;16,2205
20;2544;Leobersdorf;Dornauerstraße;Entlang der Triesting;;Generationenspielplatz;Generationenspielplatz,2544, Leobersdorf;N;47,9282;16,2296
263;2564;Furth;Festplatz;hinter dem Kindergarten und der Schule;2009;Spielplatz Furth an der Triesting;Spielplatz Furth an der Triesting,2564 Furth/Triesting;N;47,9732;15,9761
57;2571;Altenmarkt an der Triesting;Nr. 125;neben Kindergarten;2004;Spielplatz am Sportplatz;Spielplatz am Sportplatz,2571, Altenmarkt an der Triesting;N;48,0150;16,0009
8;2602;Blumau;In der Kasinostraße;;2004;Blumauer Spielplatz;Blumauer Spielplatz,2602, Blumau;N;47,9172;16,2866
161;2602;Blumau-Neurisshof;Denkmalplatz;Koloniestraße, Denkmalplatz;2007;Spielplatz am Denkmalplatz;Spielplatz Blumau-Neurisshof,2602, Blumau-Neurisshof;N;47,9278;16,3023
204;2604;Theresienfeld;Rilkegasse;Am Ende der Rilkegasse;2008;Spielplatz Theresienfeld;Spielplatz Theresienfeld,2604, Theresienfeld;N;47,8607;16,2597
287;2620;Neunkirchen KG Mollram;Gartengasse;;2011;Spielplatz Mollram;Spielplatz Mollram,2620, Neunkirchen;N;47,7578;16,0907
62;2680;Semmering;;direkt auf der Passhöhe bei Schilift;2002;Spielplatz auf der Passhöhe;Spielplatz auf der Passhöhe,2680, Semmering;N;47,6375;15,8292
71;2724;Hohe Wand;Kleine Kanzel Straße 118;;;Spielplatz beim Wiener Neustädter Haus;Spielplatz beim Wiener Neustädter Haus,2724, Hohe Wand;N;47,8355;16,0155
56;2751;Matzendorf-Hölles;;Entlang des Erlenweges;2005;Spielplatz am Rodelberg;Spielplatz am Rodelberg,2751, Matzendorf-Hölles;N;47,8930;16,2260
54;2763;Muggendorf;Am Kirchensteig;;2006;Spielplatz am Kirchensteig;Spielplatz am Kirchensteig,2763, Muggendorf;N;47,9092;15,9417
142;2763;Waidmannsfeld;;;2006;Spielplatz Neusiedl;Spielplatz in Neusiedl,2763, Waidmannsfeld;N;47,8937;15,9631
69;2770;Gutenstein;Hauptstraße 86;beim Schwimmbad;2003;Spielplatz beim Schwimmbad;Spielplatz beim Schwimmbad,2770, Gutenstein;N;47,8755;15,8889
109;2813;Kaltenberg;Spielplatz Kaltenberg<br>Kaltenberg 19;neben Gasthof Neumüller;2005;Spiellandschaft Lichtenegg - Kaltenberg;Spiellandschaft Lichtenegg - Kaltenberg,2813, Kaltenberg;N;47,6152;16,1816
153;2813;Lichtenegg;Waldspielplatz Lichtenegg;der Spielplatz liegt in einem Wald und ist nur zu Fuß erreichbar;2005;Spiellandschaft Lichtenegg - Kaltenberg;Spiellandschaft Lichtenegg - Kaltenberg,2813, Lichtenegg;N;47,6037;16,1872
195;2821;Lanzenkirchen;Dammgasse;"Im Augebiet, direkt neben Radweg ""EUROVelo 9""";2008;Spielplatz Lanzenkirchen;Spielplatz Lanzenkirchen,2821, Lanzenkirchen;N;47,7445;16,2447
43;2822;Erlach;Hauptstraße 97;neben Wohnhausanlage Brunn;2002;Robinson Erlebnisspielplatz;Robinson Erlebnisspielplatz,2822, Erlach;N;47,7245;16,1892
49;2823;Pitten;;in Leiding am Mittereck;2005;Spielplatz Häußchen klein steht nicht allein;Spielplatz Häußchen klein steht nicht allein,2823, Pitten;N;47,6970;16,1923
38;2824;Seebenstein;Hauptstraße 1;vis-a-vis Gemeindeamt, Eingang Naturpark;2002;Naturnaher Spielplatz;Naturnaher Spielplatz,2824, Seebenstein;N;47,6979;16,1450
143;2831;Warth;;beim Promenadenweg in Warth;2004;Spielplatz Warth;Spielplatz Warth,2831, Warth;N;47,6518;16,1257
13;2851;Krumbach;;beim Landschaftssee;2003;Erlebnisspielplatz Entenfuss;Erlebnisspielplatz Entenfuss,2851, Krumbach;N;47,5167;16,1973
83;2852;Grametschlag;;;;Spielplatz Grametschlag;Spielplatz Grametschlag,2852, Grametschlag;N;47,4401;16,1725
165;2852;Hochneukirchen-Gschaidt;Gartenriegel, Hochneukirchen-Gschaidt;In Hochneukirchen, am Gartenriegel;2007;Spielplatz Hochneukirchen;Spielplatz Hochneukirchen-Gschaidt,2852, Hochneukirchen;N;47,4583;16,1996
70;2871;Zöbern;Schulstraße 5;;2003;Spielplatz beim Teich;Spielplatz beim Teich,2871, Zöbern;N;47,5163;16,1288
124;2880;Otterthal;;;2006;Spielplatz Otter;Spielplatz Otter,2880, Otterthal;N;47,6212;15,9345
44;3003;Gablitz;;;2006;Robinsonspielplatz;Robinsonspielplatz,3003, Gablitz;N;48,2260;16,1446
60;3041;Asperhofen;Tullner Straße Nr. 8;in der Johannesgasse, zwischen Johannesgasse und Tullner Straße neben Gasthaus Fenzl;2004;Spielplatz Asperhofen;Spielplatz Asperhofen,3041, Asperhofen;N;48,2449;15,9269
168;3052;Neustift-Innermanzing;;gegenüber dem Erlebnisteich;2007;Spielplatz am Erlebnisteich;Spielplatz Neustift-Innermanzing,3052, Innermanzing;N;48,1382;15,9112
107;3062;Kirchstetten;Totzenbach 10;neben der Schule;2005;Spielplatz in Totzenbach;Spielplatz in Totzenbach,3062, Kirchstetten;N;48,2037;15,8089
258;3071;Böheimkirchen;Am Berg 4;zwischen Schulkomplex VS Böheimkirchen (bei der Kirche vorbei);2009;Schulfreiraum Böheimkirchen;Schulfreiraum Böheimkirchen,3071 Böheimkirchen;N;48,1972;15,7617
104;3072;Kasten;Nr 17;in der Nordsiedling, oberhalb der Volksschule Kasten;2002;Spielplatz in Kasten;Spielplatz in Kasten,3072, Kasten;N;48,1528;15,7809
129;3109;Ratzersdorf;;;2004;Spielplatz Ratzersdorf;Spielplatz Ratzersdorf,3109, Ratzersdorf;N;48,2250;15,6648
58;3130;Herzogenburg;Auring 13;;2004;Spielplatz am Sportplatzgelände;Spielplatz am Sportplatzgelände,3130, Herzogenburg;N;48,2874;15,7008
266;3131;Inzersdorf;Siedlungsstrasse/ Feldweg;inmitten von Wohnhausanlagen, in der Nähe von Sportplatz und Kirche;2009;"Spielplatz ""Getziwiese""";Spielplatz Inzersdorf-Getzersdorf,3131 Inzersdorf;N;48,3174;15,6792
137;3133;Traismauer;;;2002;Spielplatz Siedlung;Spielplatz Siedlung,3133, Traismauer;N;48,3537;15,7461
126;3140;Pottenbrunn;Ernst Freisingergasse;neben Volksheim;2002;Spielplatz Pottenbrunn;Spielplatz Pottenbrunn,3140, Pottenbrunn;N;48,2390;15,6911
111;3141;Kapelln;Marktgasse 1;1 Teil direkt auf der Sportanlage Leopold Figl Platz, 2. Teil neben Tennisanlage;2003;Spielplatz Kapelln (Spiellandschaft);Spielplatz Kapelln (Spiellandschaft),3141, Kapelln;N;48,2583;15,7567
63;3142;Weißenkirchen/Perschling;Weißenkirchnerstraße 5;;2006;Spielplatz auf der Sportanlage;Spielplatz auf der Sportanlage,3142, Weißenkirchen/Perschling;N;48,2622;15,7962
78;3153;Eschenau;Hauptstraße 17;;2004;Spielplatz Eschenau;Spielplatz Eschenau,3153, Eschenau;N;48,0519;15,5702
279;3160;Traisen;Traisen-Siedlung, Winklerwald;im Ortsteil Traien-Siedlung, Winklerwald- Linzerhof;2010;Spielplatz Traisen;Spielplatz Traisen , 3160 Traisen;N;48,0404;15,6092
152;3163;Rohrbach an der Gölsen;An der Sägemühle;in Unterrohrbach, an der Straße Sägemühle;2003;Spieltraum Rohrbach;Spieltraum Rohrbach,3163, Rohrbach an der Gölsen;N;48,0454;15,7387
169;3180;Lilienfeld;Prefastraße, Marktl;am Ende der Prefastraße (oberhalb nur mehr Wald);2007;Spielplatz Marktl;Spielplatz Lilienfeld,3180, Lilienfeld;N;48,0245;15,6019
88;3192;Hohenberg;;in Hinterberg;2004;Spielplatz Hinterberg;Spielplatz Hinterberg,3192, Hohenberg;N;47,9064;15,6228
280;3211;Loich;direkt im Ort Loich;direkt im Ort, oberhalb der Kirche, der Volksschule und des Gemeindeamtes;2010;Schulfreiraum Loich;Schulfreiraum/ Spielplatz Loich , 3211 Loich;N;47,9962;15,4014
53;3224;Mitterbach am Erlaufsee;Hauptstraße 9;;2002;Spielplatz am Dorfplatz;Spielplatz am Dorfplatz,3224, Mitterbach am Erlaufsee;N;47,8138;15,2951
268;3241;Kirnberg;Sonnenweg 3;in der Nähe vom Fußballplatz;2009;Spielplatz Kirnberg;Spielplatz Kirnberg an der Mank,3241 Kirnberg an der Mank;N;48,0739;15,3176
39;3243;St.Leonhard am Forst;Hauptplatz 1;im Schlosspark;2004;Naturnaher Spielplatz im Schlosspark;Naturnaher Spielplatz im Schlosspark,3243, St.Leonhard am Forst;N;48,1427;15,2854
51;3250;Bodensdorf;;Wieselburg, zwischen Aigner Teich und kleinen Erlauf;2001;Spielplatz am Aigner Teich;Spielplatz am Aigner Teich,3250, Bodensdorf, Wieselburg - Land;N;48,1169;15,1218
93;3251;Purgstall an der Erlauf;Parkgasse 21-23;;2003;Spielplatz im Gemeindepark;Spielplatz im Gemeindepark,3251, Purgstall an der Erlauf;N;48,0580;15,1384
