pointid;plz;ort;strasse;zusatztext;gefoerdert_jahr;note1;note2;bundesland;Breitenangabe;Längenangabe
186;3252;Bergland;Landfriedstetten Nr. 3;In Landfriedstetten, neben dem Lindenstadion (Sportplatz);2008;Spielplatz Landfriedstetten;Spielplatz Landfriedstetten,3252, Bergland;N;48,1544;15,1887
77;3253;Erlauf;;;2005;Spielplatz Erlauf;Spielplatz Erlauf,3253, Erlauf;N;48,1812;15,1815
177;3261;Steinakrichen am Forst;Michael-Rab Straße;neben Michael-Rab Straße 22,;2007;Spielplatz Michael-Rab Straße;Spielplatz Seinakirchen am Forst,3261, Steinakirchen am Forst;N;48,0697;15,0445
275;3261;Wolfpassing;zwischen Eisenbahn und Hummelbach;zentral im Dorfgebiet Wolfpassing, neben dem Fußballplatz;2009;Spielplatz Wolfpassing;Spielplatz Wolfpassing,3261 Wolfpassing;N;48,0764;15,0643
123;3270;Neustift bei Scheibbs;Wertheimgasse;;2004;Spielplatz Neustift;Spielplatz Neustift,3270, Neustift bei Scheibbs;N;47,9930;15,1618
178;3293;Lunz am See;St. Johannesstraße, Seepromenade;entlang der Seepromenade, nahe der Kreuzung St. Johannes Straße;2007;Spielplatz Lunz;Spielplatz Lunz,3293, Lunz am See;N;47,8589;15,0258
5;3300;Amstetten;Friedrich Ludwig Jahn Strasse 10;neben Jahnturnhalle;2006;Barrierefreier Spielplatz;Barrierefreier Spielplatz,3300, Amstetten;N;48,1204;14,8684
180;3300;Amstetten;Negrellistraße;am Ende der Negrellistraße, links;2007;Spielplatz Negrellistraße;Spielplatz Amstetten-Negrellistraße,3300, Amstetten;N;48,1178;14,8874
185;3300;Amstetten;Hamarsbergweg;In Ulmerfeld, direkt neben Kindergarten;2008;Spielplatz Heidengarten;Spielplatz Ulmerfeld,3300, Amstetten;N;48,0793;14,8272
181;3311;Zeillern;Ludwigsdorf;in Ludwigsdorf;2007;Spielplatz Ludwigsdorf;Spielplatz Ludwigsdorf,3311, Zeillern;N;48,1195;14,8092
206;3313;Wallsee-Sindelburg;Beim Donaualtarm;Beim Wassersportzentrum Wallsee, zw. Pfadfinder u. Tennisplätzen;2008;Wasiki-Land;Spielplatz Wallsee,3313, Wallsee-Sindelburg;N;48,1695;14,7102
29;3321;Ardagger Markt;;direkt neben der Kirche in Stephanshart;2005;Kinderspielplatz Stephanshart;Kinderspielplatz Stephanshart,3321, Ardagger Markt;N;48,1579;14,8170
257;3321;Ardagger;Ardagger 145;im Komplex der Volks/Hauptschule Ardagger;2009;Schulfreiraum Ardagger;Schulfreiraum Ardagger,3321 Ardagger;N;48,1752;14,8294
136;3322;Seisenegg, Gem. Viehdorf;Meierhof Nr 3;;;Spielplatz Seisenegg;Spielplatz Seisenegg,3322, Seisenegg, Gem. Viehdorf;N;48,1358;14,9222
79;3324;Euratsfeld;Birkenstraße;;2002;Spielplatz Euratsfeld;Spielplatz Euratsfeld,3324, Euratsfeld;N;48,0797;14,9347
42;3331;Kematen an der Ybbs;;im Rückstaubereich des Kraftwerkes Dorfmühle gelegen;2003;Naturspielplatz beim Ybbs-Naturbad Kematen;Naturspielplatz beim Ybbs-Naturbad Kematen,3331, Kematen an der Ybbs;N;48,0495;14,7854
102;3331;Allhartsberg;Markt Nr. 50;direkt neben der Schule;2004;Spielplatz in Allhartsberg;Spielplatz in Allhartsberg,3331, Allhartsberg;N;48,0266;14,7928
95;3340;Waidhofen a.d.Ybbs;Oberer Stadtplatz 28;;;Spielplatz im Naturpark Buchenberg;Spielplatz im Naturpark Buchenberg,3340, Waidhofen a.d.Ybbs;N;47,9614;14,7744
91;3341;Ybbsitz;Hammerschmiedstraße;an der Schmiedemeile;2006;Spielplatz im Dr. Meyer-Park;Spielplatz im Dr. Meyer-Park,3341, Ybbsitz;N;47,9452;14,8971
68;3345;Göstling an der Ybbs;;;2006;Spielplatz beim Flussbad im Park;Spielplatz beim Flussbad im Park,3345, Göstling an der Ybbs;N;47,8106;14,9335
15;3350;Haag;;am Salaberg;;Erlebnisspielplatz im Tierpark Haag;Erlebnisspielplatz im Tierpark Haag,3350, Haag;N;48,0913;14,5692
18;3353;Biberbach;;im Energieforscherdorf Biberbach, Sportzentrum Biberbach;2003;Erlebnis-Waldspielplatz;Erlebnis-Waldspielplatz ,3353, Biberbach;N;48,0351;14,7130
179;3371;St. Martin-Karlsbach;St. Martin;"in der ""Hauptortschaft"" St. Martin, neben dem Weg (Sackgasse) zum Tennisplatz, keine Straßennamen bekannt";2007;Spielplatz St. Martin;Spielplatz St. Martin,3371, St. Martin-Karlsbach;N;48,1638;15,0234
26;3372;Blindenmarkt;;;2006;Erlebnisspielplatz;Erlebnisspielplatz,3372, Blindenmarkt;N;48,1259;14,9895
174;3375;Krummnussbaum;Krummnussbaum;an der Hauptstraße, zw. Wörthweg und  Freizeitzentrum;2007;Spielplatz Krummnussbaum;Spielplatz Krummnussbaum,3375, Krummnussbaum;N;48,2093;15,1667
127;3385;Prinzersdorf;Schubertraße;;2006;Spielplatz Prinzersdorf;Spielplatz Prinzersdorf,3385, Prinzersdorf;N;48,2031;15,5217
140;3390;Melk;Abt Karl-Straße;;2004;Spielplatz Stadtpark;Spielplatz Stadtpark,3390, Melk;N;48,2258;15,3306
119;3392;Dunkelsteinerwald/Mauer;;Süßgraben in Mauer;2006;Spielplatz Mauer;Spielplatz Mauer,3392, Dunkelsteinerwald/Mauer;N;48,2259;15,4125
82;3393;Zelking-Matzleinsdorf;In Gassen;;2003;Spielplatz Gassen;Spielplatz Gassen,3393, Zelking-Matzleinsdorf;N;48,1832;15,2610
85;3423;St.Andrä-Wördern;Feldgasse 67a;;2005;Spielplatz Hadersfeld;Spielplatz Hadersfeld,3423, St.Andrä-Wördern;N;48,3378;16,2662
200;3423;St.Andrä-Wördern;Dr. Karl Renner-Allee 14;In Wördern, direkt neben Sportplatz;2008;Spielplatz St. Andrä Wördern;Spielplatz Wördern,3423, St. Andrä-Wördern;N;48,3321;16,2098
281;3423;St.Andrä-Wördern;Greifensteiner Strasse 22;direkt neben der Volksschule St.Andrä-Wördern;2010;Schulfreiraum St.Andrä-Wördern;Schulfreiraum St.Andrä-Wördern , 3423 St.Andrä-Wördern;N;48,3229;16,2108
90;3430;Tulln/Erholungspark;Donaulände 78;;;Spielplatz im Aubad Tulln;Spielplatz im Aubad Tulln,3430, Tulln/Erholungspark;N;48,3327;16,0634
256;3430;Tulln an der Donau;Ludwig-van-Beethofenstraße;Im Komponistenviertel von Tulln, Nähe Landeskrankenhaus;2008;"Spielplatz ""Komponistenviertel""";Spielplatz Tulln an der Donau,3430, Tulln an der Donau;N;48,3185;16,0619
207;3435;Zwentendorf an der Donau;;In Erpersdorf direkt in einem Wohngebiet;2008;Spielplatz Erpersdorf;Spielplatz Erpersdorf,3435, Zwentendorf an der Donau;N;48,3346;15,9211
267;3441;Judenau-Baumgarten;Hauptstraße 28;unmittelbar bei der VS Judenau-Baumgarten;2009;Schulfreiraum Judenau-Baumgarten;Schulfreiraum Judenau-Baumgarten,3441 Judenau-Baumgarten;N;48,2811;16,0206
99;3452;Atzenbrugg;Schloßplatz 1;;2005;Spielplatz im Schloßpark;Spielplatz im Schloßpark,3452, Atzenbrugg;N;48,2922;15,9059
59;3454;Sitzenberg-Reidling;;;2004;Spielplatz am Teichgelände;Spielplatz am Teichgelände,3454, Sitzenberg-Reidling;N;48,3189;15,8112
113;3465;Königsbrunn/Wagram;;direkt neben der Volksschule;2006;Spielplatz Königsbrunn;Spielplatz Königsbrunn,3465, Königsbrunn/Wagram;N;48,4214;15,9431
282;3470;Kirchberg am Wagram;neben dem Alchemistenpark;unmittelbar beim Alchemistenpark, gegenüber vom Friedhof;2010;Spielplatz Kirchberg am Wagram;Spielplatz Kirchberg am Wagram , 3470 Kirchberg am Wagram;N;48,4343;15,8986
110;3481;Fels am Wagram;Kapellenweg;;2005;Spielplatz Kapellenweg;Spielplatz Kapellenweg,3481, Fels am Wagram;N;48,4348;15,8324
32;3484;Grafenwörth;Am Anker;Hofgartensiedlung;2002;Kinderwelt Grafenwörth;Kinderwelt Grafenwörth,3484, Grafenwörth;N;48,4036;15,7824
191;3484;Grafenwörth;Untere Ortsstraße;Direkt im Ort Jettsdorf;2008;Spielplatz Jetzdorf;Spielplatz Jettsdorf,3483, Grafenwörth;N;48,4030;15,7610
274;3491;Straß im Straßertal;neben dem Kindergarten;Ortskern von Straß, unmittelbar neben Kindergarten;2009;Spielplatz Straß;Spielplatz Straß im Straßertal,3491 Straß;N;48,4729;15,7354
264;3492;Etsdorf;Hauptstraße 109;im Komplex der HS/PTS Grafenegg;2009;Schulfreiraum Grafenegg;Schulfreiraum Grafenegg,3492 Etsdorf;N;48,4464;15,7392
189;3493;Gedersdorf;Donaugasse;In der Donaugasse, am Ende der Siedlung;2008;"Spielplatz Theiß ""Donaugasse""";Spielplatz Theiß,3494, Gedersdorf;N;48,3967;15,6890
36;3495;Rohrendorf;Obere Hauptstraße 6;;2006;Maximundus;Maximundus,3495, Rohrendorf;N;48,4190;15,6563
171;3500;Krems;Donaulände Krems-Stein;direkt bei der Schiffsanlegestelle in Krems-Stein (westlich), an der Donaulände;2007;Spielplark Krems-Stein;Spielplatz Krems-Stein,3500, Krems;N;48,4023;15,5853
170;3508;Paudorf;;in Krustetten am Ortsende links, am höchsten Punkt,  Richtung Nussdorf;2007;Spielplatz Krustetten;Spielplatz Krustetten,3508, Paudorf;N;48,3549;15,6160
141;3511;Furth bei Göttweig;Stift Göttweig;direkt neben dem Eingang des Benediktinerstiftes Göttweig;2010;Spielplatz beim Stift Göttweig;Spielplatz Stift Göttweig , 3511 Furth bei Göttweig;N;48,3837;15,6478
285;3511;Thallern;;;;Spielplatz Thallern;Spielplatz Thallern,3511, Thallern;N;48,3837;15,6478
131;3512;Schenkenbrunn, Bergern i.D.;;direkt im Ort  Schenkenbrunn;2003;Spielplatz Schenkenbrunn;Spielplatz Schenkenbrunn,3512, Bergern i.D.;N;48,3438;15,4857
27;3522;Lichtenau;Siedlung Lichtenau;im Westen der Siedlung Lichtenau;2002;Kinderspielplatz Lichtenau;Kinderspielplatz Lichtenau,3522, Lichtenau;N;48,5005;15,3869
273;3525;Sallingberg KG Armschlag;Mohngartenstadl;in Armschlag, neben dem Mohndorf, davor ist der große Parkplatz des Mohndorfes;2009;Mohngartenspielplatz Armschlag;Spielplatz Sallingberg KG Armschlag,3525 Sallingberg;N;48,4666;15,2319
125;3532;Rastenfeld;;;2005;Spielplatz Peygarten-Ottenstein Hinterfeld;Spielplatz Peygarten-Ottenstein Hinterfeld,3532, Rastenfeld;N;48,5867;15,3287
22;3543;Krumau am Kamp;;;2006;Kinderparadies Preinreichs;Kinderparadies Preinreichs,3543, Krumau am Kamp;N;48,5816;15,4632
30;3550;Langenlois;Pfarrplatz;direkt neben der Kirche in Zöbing;2003;Kinderspielplatz Zöbing;Kinderspielplatz Zöbing,3550, Langenlois;N;48,4919;15,6947
194;3550;Langenlois;Dechantstraße 19;"Gebiet ""Lange Sonne"", direkt neben Pflegezentrum FOQUS";2008;Spielplatz Lange Sonne;Spielplatz für Jung & Alt Langenlois,3550, Langenlois;N;48,4793;15,6746
203;3552;Stratzing;;Inmitten von Obst- und Weingärten am Ortsende von Stratzing, gegenüber Reitkoppel;2008;"Spielplatz ""Sunogeln""";Spielplatz Stratzing,3552, Stratzing;N;48,4429;15,6192
269;3552;Lengenfeld;Florianiplatz;unmittelbar beim Feuerwehrhaus, Arzt und Sportplatz;2009;Spielplatz Lengenfeld;Spielplatz Lengenfeld,3552 Lengenfeld;N;48,4709;15,6073
134;3562;Schönberg;Mollands 80;hinter Feuerwehrhaus;2006;Spielplatz Mollands;Spielplatz Mollands,3562, Schönberg;N;48,5136;15,6738
122;3564;Plank am Kamp;Kirchengasse;;;Spielplatz neben Strandbad;Spielplatz neben Strandbad,3564, Plank am Kamp;N;48,5554;15,6805
149;3571;Gars am Kamp;;;2003;Spielplatz Wörth;Spielplatz Wörth,3571, Gars am Kamp;N;48,5964;15,6570
14;3580;Horn;Frauenhofnerstraße;;2003;Erlebnisspielplatz im Stadtpark;Erlebnisspielplatz im Stadtpark,3580, Horn;N;48,6634;15,6512
40;3580;St. Bernhard;St. Bernhard 56;;2002;Naturnaher Spielplatz St. Bernhard;Naturnaher Spielplatz St. Bernhard,3580, St. Bernhard;N;48,6860;15,5965
48;3580;Mödring/Pernegg;;zwischen Mödring und Pernegg, 5 km nördlich von Horn, direkt an der B4,neben Gastwirtschaft, www.gallien.at;;Spielplatz Gallien 1;Spielplatz Gallien 1,3580, Mödring/Pernegg;N;48,7408;15,6364
289;3594;Pölla KG Franzen;Franzen 2;neben Jugendgästehaus;2011;Spielplatz Pölla KG Franzen;Spielplatz Pölla KG Franzen,3594, Pölla KG Franzen;N;48,6187;15,3948
37;3601;Dürnstein;;neben Fußballplatz Dürnstein, Nähe Kuenringerbad Dürnstein;2005;Naturnaher Kinderspielplatz;Naturnaher Kinderspielplatz,3601, Dürnstein;N;48,3918;15,5220
4;3602;Rossatz-Hofarnsdorf;;in der Nähe der Kirche und Volksschule;2002;Kinderspielplatz Hofarnsdorf;Kinderspielplatz Hofarnsdorf,3602, Rossatz-Hofarnsdorf;N;48,3645;15,4288
34;3602;Oberarnsdorf;;direkt am rechten Donauufer am westlichen Ortsende von Oberarnsdorf, neben Donau - Radweg;;Kleinkinderspielplatz;Kinderspielplatz Oberarnsdorf,3602, Oberarnsdorf;N;48,3545;15,4122
156;3602;Rossatz;;in Rossatz-Arnsdorf, am Ortsrand in der Nähe des Augebietes;2001;Indianerspielplatz;Abenteuerspielplatz (Indianerspielplatz),3602, Rossatz;N;48,3998;15,5114
9;3610;Weißenkirchen i.d.Wachau/Joching;;;2006;Erlebnisspielplatz;Erlebnisspielplatz,3610, Weißenkirchen i.d.Wachau/Joching;N;48,3847;15,4601
172;3613;Albrechtsberg;Albrechtsberg;keine Straßenbezeichnung bekannt;2007;Wasserspielplatz Albrechtsberg;Wasserspielplatz Albrechtsberg,3613, Albrechtsberg;N;48,4629;15,3616
198;3622;Mühldorf;Unteranna 6;Im Ortsteil Ötz, gegenüber Erlebnisbad Mühldorf;2008;Spielplatz Ötz;Spielplatz Ötz,3622, Mühldorf;N;48,3761;15,3439
31;3643;Maria Laach am Jauerling;Maria Laach Nr. 70;hinter der Volksschule bzw. Kindergarten;2004;Kinderspielträume;Kinderspielträume,3643, Maria Laach am Jauerling;N;48,3018;15,3452
145;3652;Weitenegg;Weitenegg 8;;2006;Spielplatz Weitenegg im Freizeitzentrum;Spielplatz Weitenegg im Freizeitzentrum,3652, Weitenegg;N;48,2296;15,2959
121;3662;Münichreith-Laimbach;Kindergartenweg;;2006;Ostronger Kinderparadies;Ostronger Kinderparadies,3662, Münichreith-Laimbach;N;48,2662;15,1274
175;3664;Martinsberg;Landstraße;neben der Hauptschule, Martinsberg 135, gegenüber der Freiwilligen Feuerwehr;2007;Spielplatz Martinsberg;Spielplatz Martinsberg,3664, Martinsberg;N;48,3767;15,1491
115;3671;Marbach/Donau;;;2006;Spielplatz Krummnussbaum;Spielplatz Krummnussbaum,3671, Marbach/Donau;N;48,2177;15,1635
144;3680;Hofamt Priel;Weinserstraße 45;;2005;Spielplatz Weins;Spielplatz Weins,3680, Hofamt Priel;N;48,1981;15,0303
283;3683;Yspertal;neben dem Kindergarten und der HLUW;neben dem Kindergarten und der HLUW Yspertal;2010;Spielplatz Yspertal;Spielplatz Yspertal , 3683 Yspertal;N;48,2862;15,0642
183;3684;St.Oswald;St.Oswald 59;direkt hinter der Volksschule von St. Oswald (diese liegt an der Hauptstraße;2007;Spielplatz St. Oswald;Spielplatz St. Oswald,3684, St. Oswald;N;48,2679;15,0397
284;3691;Nöchling;direkt im Ortszentrum Nöchling;direkt im Ort, neben dem Friedhof und hinter einem großen Parkplatz;2010;Spielplatz Nöchling;Spielplatz Nöchling , 3691 Nöchling;N;48,2239;14,9827
45;3701;Großweikersdorf;;Kugelbergweg;2002;Robinsonspielplatz;Robinsonspielplatz Kinderspielplatz,3701, Großweikersdorf;N;48,4674;15,9792
154;3701;Unterthern;;Gemeinde Heldenberg, zwischen Oberthern und Unterhern;;Weidenspielplatz Unterthern;Weidenspielplatz Unterthern,3701, Unterthern;N;48,5121;16,0001
35;3710;Ziersdorf;Kürnbachstraße;Entlang des Radweges;;Kürnbachspielplatz;Kürnbachspielplatz,3710, Ziersdorf;N;48,5317;15,9342
103;3712;Maissau;Horner Bundesstraße;in der Amethyst Welt Maissau;2003;Spielplatz in der Amethystwelt Maissau;Spielplatz in der Amethystwelt Maissau,3712, Maissau;N;48,5736;15,8289
138;3714;Sitzendorf an der Schmida;;;2006;Spielplatz Sitzendorf;Spielplatz Sitzendorf,3714, Sitzendorf an der Schmida;N;48,5993;15,9434
260;3730;Eggenburg;Mozartstrasse 12;bei der Volksschule Eggenburg;2009;Schulfreiraum Eggenburg;Schulfreiraum Eggenburg,3730 Eggenburg;N;48,6477;15,8153
128;3741;Pulkau;Hauptstraße 4;am Park;2002;Spielplatz Pulkau;Spielplatz Pulkau,3741, Pulkau;N;48,7042;15,8622
130;3743;Röschitz;Kirchengasse;;2006;Spielplatz Röschitz;Spielplatz Röschitz,3743, Röschitz;N;48,6670;15,8887
101;3812;Groß Siegharts;;Spielplatz direkt im Stadtpark;2002;Spielplatz im Stadtpark;Spielplatz im Stadtpark,3812, Groß Siegharts;N;48,7905;15,4060
74;3813;Dietmanns;;im ehemaligen Schielpark, Ecke Hauptstraße/Dorfstraße;2003;Spielplatz Dietmanns;Spielplatz Dietmanns,3813, Dietmanns;N;48,7947;15,3832
81;3830;Hollenbach;;Best Trip Camp Hollenbach, 300 m südlich von Hollenbach. Diese Anlage ist kostenplichtig und die Benutzung ist nur mit Anmeldung möglich. 02842/52561-12 (Büro);;Spielplatz Freizeitanlage Hollenbach;Spielplatz Freizeitanlage Hollenbach,3830, Hollenbach;N;48,8276;15,3249
173;3842;Thaya;Thaya, Zwettler Bundesstraße;hinter der Kirche, Kreuzung Zwettler Bundesstraße - Florianigasse;2007;Spielplatz Thaya;Spielplatz Thaya,3842, Thaya;N;48,8550;15,2897
75;3843;Dobersberg;Hohenauer Straße;bei Freizeitanlage Dobersberg;2002;Spielplatz Dobersberg;Spielplatz Dobersberg,3843, Dobersberg;N;48,9198;15,3146
87;3860;Heidenreichstein;Litschauerstraße 18;angrenzend an ehemalige Anderswelt;;Spielplatz Heidenreichstein;Spielplatz Heidenreichstein,3860, Heidenreichstein;N;48,8717;15,1181
65;3861;Eggern;;zwischen Tennisplatz u. Badeteich;;Spielplatz bei Badeteich;Spielplatz bei Badeteich,3861, Eggern;N;48,9115;15,1399
66;3863;Reingers;Reingers 106;direkt neben Campingplatz;;Spielplatz bei Campingplatz;Spielplatz bei Campingplatz,3863, Reingers;N;48,9681;15,1504
199;3872;Schrems;3872 Langegg;In der KG Langegg neben Sportplatz;2008;Spielplatz Langegg;Spielplatz Langegg,3943, Schrems;N;48,8369;15,0505
97;3900;Großhaselbach;Pfarrhof Nr. 2;hinter der Kirche, im Pfarrgarten in Großhaselbach;2004;Spielplatz im Pfarrgarten;Spielplatz im Pfarrgarten,3900, Großhaselbach;N;48,7257;15,2826
135;3900;Schwarzenau;Thayagasse 12;;2005;Spielplatz Schwarzenau;Spielplatz Schwarzenau,3900, Schwarzenau;N;48,7415;15,2630
80;3903;Echsenbach;Feldgasse;;2006;Spielplatz Feldgasse;Spielplatz Feldgasse,3903, Echsenbach;N;48,7181;15,2132
139;3904;Vitis;;;2005;Spielplatz Sonnensiedlung;Spielplatz Sonnensiedlung,3904, Vitis;N;48,7622;15,1817
106;3910;Zwettl;;neben Altstadt;;Spielplatz in Promenade;Spielplatz in Promenade,3910, Zwettl;N;48,6043;15,1667
106;3910;Zwettl;;neben Altstadt;;Spielplatz in Promenade;Spielplatz in Promenade,3910, Zwettl;N;48,6043;15,1667
10;3922;Groß Gerungs;Großschönau 20;;;Erlebnisspielplatz;Erlebnisspielplatz,3922, Groß Gerungs;N;48,6534;14,9433
11;3922;Großschönau;Großschönau 120;;;Erlebnisspielplatz;Erlebnisspielplatz,3922, Großschönau;N;48,6508;14,9382
290;3931;Schweiggers;Am Schulberg;neben Tennisplatz;2011;Spielplatz Schweiggers;Spielplatz Schweiggers ,3931, Schweiggers;N;48,6683;15,0654
192;3942;Hirschbach;Sportplatzweg;Gegenüber der Sportanlage Hirschbach;2008;Spielplatz Hirschbach;Spielplatz Hirschbach,3942, Hirschbach;N;48,7487;15,1250
3;3945;Hoheneich;Sportplatzgasse 381;bei der Sportanlage;2005;Abenteuerspielplatz Hoheneich;Abenteuerspielplatz Hoheneich,3945, Hoheneich;N;48,7733;15,0282
76;3950;Ehrendorf;Flurgasse;Flurgasse am Ortsende von Ehrendorf;2004;Spielplatz Ehrendorf;Spielplatz Ehrendorf,3950, Ehrendorf;N;48,7558;14,9613
12;3961;Waldenstein;Nr. 65;im Dorfanger neben dem Vereinshaus;2005;Erlebnisspielplatz Albrechts;Erlebnisspielplatz Albrechts,3961, Waldenstein;N;48,7450;15,0080
205;3961;Waldenstein;;Direkt im Ort, Nähe Dorfplatz;2008;Spielplatz Waldenstein;Spielplatz Waldenstein,3961, Waldenstein;N;48,7287;15,0163
19;3970;Moorbad Harbach;Lauterbach Nr. 11;gegenüber dem FF-Haus, vor dem Bauernmuseum Lauterbach;2004;Gemeindespielplatz Lauterbach;Gemeindespielplatz Lauterbach,3970, Moorbad Harbach;N;48,6972;14,7775
158;3970;Moorbad Harbach;Spielplatz für Erwachsene;Nahe der Kuranstalt;;Motorikpark Hirschenwies;Motorikpark Hirschenwies,3970, Moorbad Harbach;N;48,6840;14,7519
201;4303;St.Pantaleon-Erla;Ringstraße 12;Gegenüber der Volksschule St. Pantaleon;2008;Spielplatz St. Pantaleon;Spielplatz St. Pantaleon-Erla,4303, St. Pantaleon;N;48,2108;14,5673
17;4431;Haidershofen;Vestenthal 117a;;2005;Erlebnisspielplatz Vestenthal;Erlebnisspielplatz Vestenthal,4431, Haidershofen;N;48,0753;14,5120
6;4441;Behamberg;Nr. 38;anschließend an Schulhof der Volksschule;2003;Behambi-Land;Behambi-Land,4441, Behamberg;N;48,0347;14,4966
